"Zipcode","City","State","Lat","Long","Location"
"35114","MAYLENE","AL",33.23,-86.93,"NA-US-AL-MAYLENE"
"36457","MEGARGEL","AL",31.38,-87.43,"NA-US-AL-MEGARGEL"
"35984","MENTONE","AL",34.56,-85.58,"NA-US-AL-MENTONE"
"35759","MERIDIANVILLE","AL",34.87,-86.57,"NA-US-AL-MERIDIANVILLE"
"36458","MEXIA","AL",31.5,-87.39,"NA-US-AL-MEXIA"
"36350","MIDLAND CITY","AL",31.31,-85.49,"NA-US-AL-MIDLAND CITY"
"36053","MIDWAY","AL",32.07,-85.52,"NA-US-AL-MIDWAY"
"36054","MILLBROOK","AL",32.49,-86.36,"NA-US-AL-MILLBROOK"
"36267","MILLERVILLE","AL",33.15,-85.95,"NA-US-AL-MILLERVILLE"
"35576","MILLPORT","AL",33.55,-88.08,"NA-US-AL-MILLPORT"
"36558","MILLRY","AL",31.62,-88.31,"NA-US-AL-MILLRY"
"36761","MINTER","AL",32.1,-86.96,"NA-US-AL-MINTER"
"36601","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36602","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36603","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36604","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36605","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36606","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36607","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36608","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36609","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36610","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36611","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36612","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36613","EIGHT MILE","AL",30.76,-88.12,"NA-US-AL-EIGHT MILE"
"36615","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36616","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36617","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36618","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36619","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36625","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36628","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36630","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36633","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36640","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36641","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36644","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36652","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36660","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36663","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36670","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36671","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36675","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36685","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36688","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36689","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36691","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36693","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36695","MOBILE","AL",30.68,-88.04,"NA-US-AL-MOBILE"
"36460","MONROEVILLE","AL",31.51,-87.32,"NA-US-AL-MONROEVILLE"
"36461","MONROEVILLE","AL",31.51,-87.32,"NA-US-AL-MONROEVILLE"
"36462","MONROEVILLE","AL",31.51,-87.32,"NA-US-AL-MONROEVILLE"
"35115","MONTEVALLO","AL",33.1,-86.85,"NA-US-AL-MONTEVALLO"
"36101","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36102","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36103","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36104","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36105","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36106","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36107","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36108","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36109","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36110","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36111","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36112","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36113","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36114","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36115","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36116","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36117","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36118","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36119","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36120","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36121","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36123","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
"36124","MONTGOMERY","AL",32.35,-86.28,"NA-US-AL-MONTGOMERY"
